ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area
"157",MWI,Malawi,"1962",Lilongwe,"22819",TA Mazengera,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.97024100062,0.02890478309
"157",MWI,Malawi,"1963",Machinga,"22820",Lake Chilwa,,,,,Water body,Water body,Unknown,Unknown,,0.43857102152,0.00520516754
"157",MWI,Malawi,"1963",Machinga,"22821",Lake Chiuta,,,,,Water body,Water body,Unknown,Unknown,,0.46691004983,0.00518478623
"157",MWI,Malawi,"1963",Machinga,"22822",Liwonda National Park,,,,,National Park,National Park,Unknown,Unknown,,0.92074952121,0.03332534616
"157",MWI,Malawi,"1963",Machinga,"22823",Liwonde Town,,,,,Town,Town,Unknown,Unknown,,0.27840070683,0.00303715650
"157",MWI,Malawi,"1963",Machinga,"22824",SC Chamba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.52071171837,0.01151686743
"157",MWI,Malawi,"1963",Machinga,"22825",SC Chikweo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.83395832332,0.02766776383
"157",MWI,Malawi,"1963",Machinga,"22826",SC Chiwalo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.44659217104,0.00588609521
"157",MWI,Malawi,"1963",Machinga,"22827",SC Mlomba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.90697706455,0.03106244280
"157",MWI,Malawi,"1963",Machinga,"22828",SC Mposa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.66853454083,0.01794858856
"157",MWI,Malawi,"1963",Machinga,"22829",SC Ngokwe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.54915799588,0.01329035511
"157",MWI,Malawi,"1963",Machinga,"22830",SC Sitola,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.77003645198,0.02758190521
"157",MWI,Malawi,"1963",Machinga,"22831",TA Kawinga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.55770331333,0.07820409566
"157",MWI,Malawi,"1963",Machinga,"22832",TA Liwonde,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.43980216005,0.03681103272
"157",MWI,Malawi,"1963",Machinga,"22833",TA Nyambi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.80250422909,0.02909314540
"157",MWI,Malawi,"1964",Mangochi,"22834",Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,3.64731034152,0.20270419960
"157",MWI,Malawi,"1964",Mangochi,"22835",Lake Malombe,,,,,Water body,Water body,Unknown,Unknown,,0.83168544674,0.02981457193
"157",MWI,Malawi,"1964",Mangochi,"22836",Mangochi Town,,,,,Town,Town,Unknown,Unknown,,0.13285461187,0.00103963620
