ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,prev_mean_sh_mean,prev_mean_sman_mean,prev_mean_anysch_mean,prev_mean_asc_mean,prev_mean_hkw_mean,prev_mean_tri_mean,prev_mean_anysth_mean,prev_mean_1_sh_mean,prev_mean_1_sman_mean,prev_mean_1_anysch_mean,prev_mean_1_asc_mean,prev_mean_1_hkw_mean,prev_mean_1_tri_mean,prev_mean_1_anysth_mean
157,MWI,Malawi,1961,Kasungu,22792,SC Kawamba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.547821074,0.054260386,0.097049,0.027248,0.128416,0.006662,0.016896,0.000969,0.034055,0.080872,0.004632,0.081522,0.011182,0.005622,0.001886,0.015665
157,MWI,Malawi,1961,Kasungu,22793,SC Lukwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.014147385,0.02307091,0.104797,0.033464,0.135353,0.007274,0.019298,0.001372,0.036333,0.051791,0.004489,0.053012,0.010148,0.004814,0.002181,0.0134
157,MWI,Malawi,1962,Lilongwe,22806,SC Mtema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.708018468,0.014193308,0.075436,0.037504,0.100703,0.010713,0.036799,0.006761,0.042557,0.016178,0.013836,0.028247,0.055886,0.010146,0.002127,0.066184
157,MWI,Malawi,1962,Lilongwe,22807,SC Njewa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.438491038,0.008683225,0.146211,0.034173,0.174689,0.004679,0.018219,0.006564,0.023649,0.012135,0.012691,0.020892,0.046077,0.012626,0.002807,0.056718
157,MWI,Malawi,1962,Lilongwe,22808,SC Tsabango,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.495298209,0.005764574,0.073227,0.234463,0.247131,0.008244,0.026937,0.015348,0.033495,0.047077,0.014202,0.058278,0.033782,0.044534,0.003127,0.065411
157,MWI,Malawi,1962,Lilongwe,22809,TA Chadza,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.244468886,0.031184069,0.115435,0.082033,0.203805,0.018051,0.020971,0.011395,0.038498,0.066713,0.019484,0.075031,0.038136,0.028854,0.002253,0.061931
157,MWI,Malawi,1962,Lilongwe,22810,TA Chimutu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.060668849,0.03365241,0.078658,0.137992,0.253247,0.010861,0.021811,0.006248,0.032265,0.024388,0.02446,0.04414,0.063309,0.053264,0.002076,0.114281
157,MWI,Malawi,1962,Lilongwe,22811,TA Chiseka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.057866137,0.133192217,0.153526,0.021277,0.162129,0.023809,0.030021,0.004601,0.050646,0.061962,0.013913,0.068354,0.025703,0.012873,0.001959,0.037112
157,MWI,Malawi,1962,Lilongwe,22812,TA Chitukula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.483562994,0.00991297,0.053649,0.022437,0.065263,0.016013,0.038697,0.007225,0.044816,0.018675,0.016601,0.033491,0.071572,0.012395,0.001738,0.083432
157,MWI,Malawi,1962,Lilongwe,22813,TA Kabudula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.136021561,0.044920201,0.070252,0.037287,0.101281,0.008668,0.045288,0.003787,0.063281,0.021892,0.006547,0.026253,0.022476,0.004684,0.003963,0.028705
157,MWI,Malawi,1962,Lilongwe,22814,TA Kalolo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.348566332,0.050968726,0.111792,0.018671,0.122434,0.014322,0.041141,0.00343,0.064002,0.036489,0.009141,0.044567,0.019272,0.004913,0.001966,0.022187
157,MWI,Malawi,1962,Lilongwe,22815,TA Kalumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.301819829,0.004009067,0.07211,0.024423,0.104649,0.023635,0.008958,0.005904,0.035497,0.046659,0.007692,0.046755,0.04347,0.025678,0.003849,0.050861
157,MWI,Malawi,1962,Lilongwe,22816,TA Kalumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.694994038,0.016771532,0.114193,0.111373,0.233581,0.02156,0.034939,0.009257,0.05317,0.030252,0.017495,0.03432,0.043906,0.024568,0.00235,0.06697
157,MWI,Malawi,1962,Lilongwe,22817,TA Khongoni,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.270374191,0.047609245,0.090099,0.051309,0.126207,0.01269,0.049132,0.002369,0.084613,0.031866,0.003543,0.033054,0.010956,0.003266,0.002143,0.014309
