"Year","District","School","Long","Lat","Test","Age","Shprev","Smanprev","anySCHprev"
2017,"MULANJE","Chigombe F.P School",35.61485278,-16.06102387,"KK/UF","1014",0.103448275862069,0,0.103448275862069
2017,"MULANJE","Chisitu FP School",35.43830629,-15.99802948,"KK/UF","1014",0.133333333333333,0,0.133333333333333
2017,"MULANJE","Gambula School",35.70560575,-16.07718663,"KK/UF","1014",0.103448275862069,0.0344827586206897,0.137931034482759
2017,"MULANJE","Kamwendo School",35.45834238,-15.66808444,"KK/UF","1014",0,0.0344827586206897,0.0333333333333333
2017,"MULANJE","Kanjedza School",35.2149,-17.0416,"KK/UF","1014",0.269230769230769,0,0.269230769230769
2017,"MULANJE","Kaphiri JP School",35.35965535,-15.89365684,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"MULANJE","Mendulo School",35.33685138,-15.99178822,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MULANJE","Mwangothaya School",35.40513547,-15.89236774,"KK/UF","1014",0.266666666666667,0,0.266666666666667
2017,"MULANJE","Nachidwa School",35.78831401,-16.04006302,"KK/UF","1014",0.037037037037037,0,0.037037037037037
2017,"MULANJE","Naming'azi School",35.37534329,-16.04071305,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MULANJE","Namulenga  Girls School",35.33220145,-15.86785433,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MULANJE","Namulenga Boys",35.33220145,-15.86800523,"KK/UF","1014",0.2,0,0.2
2017,"MULANJE","Njeza School",35.50149731,-16.02586256,"KK/UF","1014",0.133333333333333,0,0.133333333333333
2017,"MULANJE","Samson School",35.47665766,-15.96334506,"KK/UF","1015",0.133333333333333,0,0.133333333333333
2017,"NSANJE","Chigwamafumu School",35.15659,-16.5237,"KK/UF","1014",0.266666666666667,0,0.266666666666667
2017,"NSANJE","Chilikha School",34.91195011,-16.67911374,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"NSANJE","ELIM Springs School",35.11249,-16.56627,"KK/UF","1014",0.2,0,0.2
2017,"NSANJE","Kanjedza School",35.46296046,-16.10606173,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"NSANJE","Khope JP School",35.19202493,-16.64963625,"KK/UF","1014",0.466666666666667,0,0.466666666666667
2017,"NSANJE","Mankhokwe School",35.21554402,-17.05839057,"KK/UF","1014",0.1,0,0.1
2017,"NSANJE","Masenjere FP School",35.09855088,-16.33647483,"KK/UF","1014",0.310344827586207,0,0.310344827586207
2017,"NSANJE","Matundu School",35.22678707,-17.01744581,"KK/UF","1014",0.366666666666667,0,0.366666666666667
2017,"NSANJE","Mguda School",35.28420603,-16.7550136,"KK/UF","1014",0.4,0,0.4
2017,"NSANJE","Mpepe School",35.21493655,-16.72415295,"KK/UF","1014",0.0689655172413793,0,0.0689655172413793
2017,"NSANJE","Muona School",35.15241197,-16.41997221,"KK/UF","1014",0.466666666666667,0,0.466666666666667
2017,"NSANJE","Namiyala School",35.18693823,-16.48127877,"KK/UF","1014",0.133333333333333,0,0.133333333333333
2017,"NSANJE","Nansongole School",35.29370151,-17.013246,"KK/UF","1014",0.733333333333333,0,0.733333333333333
2017,"NSANJE","Njiza School",35.17701564,-17.06649193,"KK/UF","1014",0,0,0
2017,"NSANJE","Tiza D P School",35.06143117,-16.62768139,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"PHALOMBE","Bona Primary School",35.60316695,-15.53212591,"KK/UF","1014",0.0689655172413793,0,0.0689655172413793
2017,"PHALOMBE","Chitekesa",35.56629958,-15.55274181,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"PHALOMBE","Chithumbwi School",35.5940028,-15.60922859,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"PHALOMBE","Dzanjo",35.65262916,-15.52577825,"KK/UF","1014",0.206896551724138,0,0.206896551724138
2017,"PHALOMBE","Likanani school",35.76522481,-15.92737362,"KK/UF","1014",0,0,0
2017,"PHALOMBE","Luwani School",35.80269108,-15.75512603,"KK/UF","1015",0,0,0
2017,"PHALOMBE","Makhanga School",35.78273036,-15.52853557,"KK/UF","1014",0.133333333333333,0,0.133333333333333
2017,"PHALOMBE","Malambwe School",35.63120726,-15.50645215,"KK/UF","1014",0,0,0
2017,"PHALOMBE","Mileme School",35.62657733,-15.53536564,"KK/UF","1014",0,0,0
2017,"PHALOMBE","Milonga School",35.6104738,-15.64630911,"KK/UF","1114",0.166666666666667,0,0.166666666666667
2017,"PHALOMBE","Mitekete School",35.66634748,-15.64235687,"KK/UF","1014",0,0,0
2017,"PHALOMBE","Mvunguti School",35.56289723,-15.69507027,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"PHALOMBE","Mwalawamphuno School",35.8206464,-15.6211375,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"PHALOMBE","Mwimba School",35.84370143,-15.52578669,"KK/UF","1014",0.266666666666667,0,0.266666666666667
2017,"PHALOMBE","Nambazo School",35.82034969,-15.55404858,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"PHALOMBE","Naminjiwa School",35.67059003,-15.75489484,"KK/UF","1014",0.1,0,0.1
2017,"PHALOMBE","Nanyowa School",35.78559547,-15.83982931,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"PHALOMBE","Nasiyaya School",35.71513012,-15.71033747,"KK/UF","1014",0,0,0
2017,"PHALOMBE","Ndungunya School",35.51344761,-15.69506312,"KK/UF","1014",0.172413793103448,0,0.172413793103448
2017,"PHALOMBE","Trust Pvt",NA,NA,"KK/UF","0615",0.166666666666667,0,0.166666666666667
2017,"RUMPHI","Bawa",33.58571532,-10.86806007,"KK/UF","1014",0,0,0
2017,"RUMPHI","Betere JP School",33.7180221,-11.05851826,"KK/UF","1013",0,0,0
2017,"RUMPHI","Bethel Mission Pvt",33.8485036,-11.02249546,"KK/UF","1014",0,0,0
2017,"RUMPHI","Bwang`ombe School",34.12697201,-10.82724343,"KK/UF","1014",0,0,0
2017,"RUMPHI","Chandamale School",33.84431,-11.01719,"KK/UF","1014",0,0,0
2017,"RUMPHI","Chanyoli School",33.73190703,-11.03588406,"KK/UF","1014",0,0,0
2017,"RUMPHI","Chivwaradi",34.02986875,-10.91856486,"KK/UF","1014",0,0,0
2017,"RUMPHI","Kafukwe J.P. School",33.98047041,-10.87724247,"KK/UF","1014",0,0,0
2017,"RUMPHI","Kambwiya School",34.10173,-10.76994,"KK/UF","1014",0,0,0
2017,"RUMPHI","Kasasa School",33.61779114,-10.87737229,"KK/UF","1014",0,0,0
2017,"RUMPHI","Kawaza Primary School",33.7442,-10.94939,"KK/UF","1015",0,0,0
2017,"RUMPHI","Linga School",33.94647699,-10.91946978,"KK/UF","1014",0,0,0
2017,"RUMPHI","Luhono School",33.63595624,-10.98822643,"KK/UF","1014",0,0,0
2017,"RUMPHI","Lundu School",33.73962999,-10.92418213,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"RUMPHI","Luwendela School",34.03757239,-10.74845114,"KK/UF","1014",0,0,0
2017,"RUMPHI","Mbulunji School",34.01561355,-10.82333354,"KK/UF","1015",0,0,0
2017,"RUMPHI","Mkombezi FP School",33.97684739,-10.94865579,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"RUMPHI","Mphande",33.75211632,-10.93345157,"KK/UF","1014",0,0,0
2017,"RUMPHI","Mphola School",33.54413,-10.86746,"KK/UF","1013",0,0,0
2017,"RUMPHI","Our Future",33.8611,-11.01203,"KK/UF","1114",0.0625,0,0.0625
2017,"RUMPHI","Phangala School",33.54606847,-10.80441178,"KK/UF","1014",0.103448275862069,0.0416666666666667,0.137931034482759
2017,"THYOLO","Chikolombe School",35.30366205,-16.06102984,"KK/UF","1014",0,0,0
2017,"THYOLO","Chipho School",35.2666487,-16.27433856,"KK/UF","1015",0.037037037037037,0,0.037037037037037
2017,"THYOLO","Lipho School",35.29543021,-16.26703753,"KK/UF","1014",0.0333333333333333,0.0666666666666667,0.1
2017,"THYOLO","Luchenza Catholic",35.3159425,-16.00323428,"KK/UF","1012",0,0,0
2017,"THYOLO","Makandi School",35.26129235,-15.9526687,"KK/UF","1012",0,0,0
2017,"THYOLO","Makapwa School",35.28198809,-16.18006882,"KK/UF","1014",0.2,0.107142857142857,0.3
2017,"THYOLO","Mandindi",35.22346778,-16.154305,"KK/UF","1014",0,0,0
2017,"THYOLO","Mankhamba 1 School",34.99534413,-15.97583108,"KK/UF","1013",0,0,0
2017,"THYOLO","Matete School",35.19081895,-16.32490372,"KK/UF","1014",0.133333333333333,0,0.133333333333333
